城市,场地,小区数据,写字楼数据,餐饮数量,医院数量,学校数量,商场数量,酒店数量,城市月销量,城市店铺数,区域月销量,区域店铺数,城市单店均销量,区域单店均销量,全城平均客单价,区域平均客单价
北京,自空间,233,191,4407,38,1,43,144,70141857,82489,3631026,3532,850.3177029664562,1028.0368063420158,24.899226619414843,25.773601745548515
北京,铸诚大厦,448,344,4592,54,13,45,301,70141857,82489,5188196,3781,850.3177029664562,1372.1756149166888,24.899226619414843,23.779024941822417
北京,中关村,306,304,3938,53,15,43,258,70141857,82489,4564653,3234,850.3177029664562,1411.4573283859,24.899226619414843,23.81240483965588
北京,长虹桥,385,434,5883,63,1,110,258,70141857,82489,4212513,4782,850.3177029664562,880.9102885821832,24.899226619414843,27.843432943370633
北京,枣营麦子店,271,260,3577,48,1,65,194,70141857,82489,2523070,2789,850.3177029664562,904.6504123341699,24.899226619414843,28.28704186961553
北京,右安门,801,126,2092,68,3,50,332,70141857,82489,1844834,1616,850.3177029664562,1141.605198019802,24.899226619414843,24.97850825878745
北京,悠乐汇,255,161,3712,20,4,35,101,70141857,82489,2774789,3098,850.3177029664562,895.6710781149128,24.899226619414843,26.85070882717049
北京,雅宝城,675,540,7089,82,3,152,519,70141857,82489,4874585,5735,850.3177029664562,849.97122929381,24.899226619414843,27.470325804976476
北京,新荟城店,218,153,3620,21,4,30,92,70141857,82489,2692736,3052,850.3177029664562,882.2857142857143,24.899226619414843,26.628499141689712
北京,五道口二店,287,279,4024,55,14,42,243,70141857,82489,4729662,3358,850.3177029664562,1408.4758784991066,24.899226619414843,24.015531468379127
北京,望京西园,216,137,3592,19,4,30,90,70141857,82489,2668491,3029,850.3177029664562,880.9808517662595,24.899226619414843,26.709296470411637
北京,望京,254,156,3817,21,4,35,104,70141857,82489,2893283,3192,850.3177029664562,906.4169799498746,24.899226619414843,26.693923003700014
北京,驼房营,136,91,1867,16,3,17,58,70141857,82489,1485649,1523,850.3177029664562,975.4753775443204,24.899226619414843,25.018444706676068
北京,四道口,474,298,4500,59,15,46,331,70141857,82489,5183318,3749,850.3177029664562,1382.5868231528407,24.899226619414843,24.28188403621241
北京,双井,436,337,5629,58,1,85,301,70141857,82489,4492472,4435,850.3177029664562,1012.9587373167982,24.899226619414843,25.508128676283295
北京,十里河,133,71,2278,48,1,55,150,70141857,82489,1660007,1707,850.3177029664562,972.4704159343878,24.899226619414843,23.85653732227488
北京,十里堡二店,259,216,3963,51,2,56,126,70141857,82489,3113334,3176,850.3177029664562,980.2688916876574,24.899226619414843,26.53991864216225
北京,上地,156,123,1950,23,1,22,67,70141857,82489,1848879,1618,850.3177029664562,1142.6940667490728,24.899226619414843,23.0000118887569
北京,软件园,107,114,1191,11,0,8,30,70141857,82489,1168225,1001,850.3177029664562,1167.057942057942,24.899226619414843,23.229358057761598
北京,日坛,658,538,6961,81,3,145,493,70141857,82489,4851149,5616,850.3177029664562,863.8085826210826,24.899226619414843,27.492644053051848
北京,梨园,378,32,2438,27,0,36,100,70141857,82489,1598429,1843,850.3177029664562,867.2973412913727,24.899226619414843,24.811937711827472
北京,酒仙桥二店,154,102,2380,20,3,16,72,70141857,82489,1981052,1975,850.3177029664562,1003.0643037974684,24.899226619414843,24.575353564912827
北京,建国门,707,520,7404,76,2,146,537,70141857,82489,5581562,5993,850.3177029664562,931.3469047221759,24.899226619414843,26.013288277745332
北京,呼家楼二店,431,460,6382,65,1,113,275,70141857,82489,4698203,5214,850.3177029664562,901.0746068277714,24.899226619414843,27.54371347773412
北京,呼家楼,431,460,6382,65,1,113,275,70141857,82489,4698203,5214,850.3177029664562,901.0746068277714,24.899226619414843,27.54371347773412
北京,国展,384,273,3994,51,4,70,233,70141857,82489,2904469,3167,850.3177029664562,917.1041995579412,24.899226619414843,27.37080675087065
北京,国贸,684,532,7556,74,2,128,487,70141857,82489,5873768,6113,850.3177029664562,960.8650417143792,24.899226619414843,26.327037816399518
北京,广渠门,568,347,4954,76,1,106,491,70141857,82489,3781335,3962,850.3177029664562,954.4005552751136,24.899226619414843,25.430200967817136
北京,方庄,393,130,3523,66,0,65,275,70141857,82489,2908345,2676,850.3177029664562,1086.825485799701,24.899226619414843,24.23455601099132
北京,东直门,680,427,6127,84,2,96,416,70141857,82489,4408669,4955,850.3177029664562,889.741473259334,24.899226619414843,27.174535738196195
北京,大望路,400,399,6815,61,1,80,262,70141857,82489,5442621,5508,850.3177029664562,988.1301742919389,24.899226619414843,26.414590325645083
北京,五道口一店,287,279,4024,55,14,42,243,70141857,82489,4729662,3358,850.3177029664562,1408.4758784991066,24.899226619414843,24.015531468379127
北京,石景山,126,46,1181,31,1,17,53,70141857,82489,901486,964,850.3177029664562,935.1514522821577,24.899226619414843,23.914476696089377
