城市,场地,品类名称,月销量,店铺数,客单价,平台
北京,自空间,快餐便当,437722,346,,饿了么
北京,自空间,米粉面馆,161209,193,,饿了么
北京,自空间,甜品饮品,146337,279,,饿了么
北京,自空间,包子粥店,142423,94,,饿了么
北京,自空间,地方菜系,107383,114,,饿了么
北京,自空间,汉堡薯条,89375,33,,饿了么
北京,自空间,麻辣烫冒菜,78131,55,,饿了么
北京,自空间,川湘菜,70492,74,,饿了么
北京,自空间,特色小吃,67128,86,,饿了么
北京,自空间,夹馍饼类,53102,71,,饿了么
北京,自空间,龙虾烧烤,52124,111,,饿了么
北京,自空间,饺子馄饨,48705,54,,饿了么
北京,自空间,轻食沙拉,39320,29,,饿了么
北京,自空间,暖胃粉丝汤,39161,30,,饿了么
北京,自空间,香锅干锅,36294,31,,饿了么
北京,自空间,炸鸡炸串,28787,50,,饿了么
北京,自空间,韩式料理,26484,21,,饿了么
北京,自空间,火锅串串,24136,52,,饿了么
北京,自空间,意面披萨,23356,20,,饿了么
北京,自空间,西式料理,16012,23,,饿了么
北京,自空间,日料寿司,9579,24,,饿了么
北京,自空间,鸭脖卤味,7054,36,,饿了么
北京,自空间,东南亚菜,4417,7,,饿了么
北京,自空间,快餐便当,525706,326,24.82857142857143,美团
北京,自空间,甜品饮品,167287,316,42.73809523809524,美团
北京,自空间,米粉面馆,172974,172,23.908450704225352,美团
北京,自空间,龙虾烧烤,60567,130,42.70454545454545,美团
北京,自空间,地方菜系,128875,120,37.39622641509434,美团
北京,自空间,特色小吃,90037,86,32.7027027027027,美团
北京,自空间,川湘菜,78414,80,33.55223880597015,美团
北京,自空间,包子粥店,171595,75,22.242857142857144,美团
北京,自空间,夹馍饼类,61389,58,23.659574468085108,美团
北京,自空间,火锅串串,24437,53,52.35897435897436,美团
北京,自空间,麻辣烫冒菜,90769,47,18.88372093023256,美团
北京,自空间,鸭脖卤味,11657,40,54.21621621621622,美团
北京,自空间,饺子馄饨,43503,37,25.65714285714286,美团
北京,自空间,日料寿司,12004,34,48.68181818181818,美团
北京,自空间,暖胃粉丝汤,38422,32,31.586206896551722,美团
北京,自空间,西式料理,19963,31,54.166666666666664,美团
北京,自空间,香锅干锅,36428,31,28.88,美团
北京,自空间,炸鸡炸串,22163,30,21.958333333333332,美团
北京,自空间,轻食沙拉,34554,30,26.37037037037037,美团
北京,自空间,汉堡薯条,78313,28,31.0,美团
北京,自空间,韩式料理,25420,20,27.38888888888889,美团
北京,自空间,意面披萨,25005,19,38.1764705882353,美团
北京,自空间,东南亚菜,2813,8,52.166666666666664,美团
北京,自空间,其他品类,524,7,62.0,美团
北京,铸诚大厦,快餐便当,757224,426,,饿了么
北京,铸诚大厦,米粉面馆,218978,200,,饿了么
北京,铸诚大厦,甜品饮品,204110,277,,饿了么
北京,铸诚大厦,麻辣烫冒菜,153488,68,,饿了么
北京,铸诚大厦,包子粥店,151998,73,,饿了么
北京,铸诚大厦,汉堡薯条,140694,46,,饿了么
北京,铸诚大厦,地方菜系,113820,110,,饿了么
北京,铸诚大厦,香锅干锅,90517,33,,饿了么
北京,铸诚大厦,夹馍饼类,81850,81,,饿了么
北京,铸诚大厦,川湘菜,81297,64,,饿了么
北京,铸诚大厦,特色小吃,78509,97,,饿了么
北京,铸诚大厦,轻食沙拉,67359,44,,饿了么
北京,铸诚大厦,炸鸡炸串,61924,61,,饿了么
北京,铸诚大厦,龙虾烧烤,50633,103,,饿了么
北京,铸诚大厦,韩式料理,49692,31,,饿了么
北京,铸诚大厦,饺子馄饨,40048,42,,饿了么
北京,铸诚大厦,意面披萨,32233,29,,饿了么
北京,铸诚大厦,暖胃粉丝汤,31719,30,,饿了么
北京,铸诚大厦,火锅串串,31365,25,,饿了么
北京,铸诚大厦,西式料理,27479,25,,饿了么
北京,铸诚大厦,日料寿司,11759,26,,饿了么
北京,铸诚大厦,鸭脖卤味,7110,33,,饿了么
北京,铸诚大厦,东南亚菜,2353,4,,饿了么
北京,铸诚大厦,快餐便当,745733,434,24.77777777777778,美团
北京,铸诚大厦,甜品饮品,227186,321,31.741610738255034,美团
北京,铸诚大厦,米粉面馆,257265,205,21.528089887640448,美团
北京,铸诚大厦,地方菜系,178511,132,33.11864406779661,美团
北京,铸诚大厦,龙虾烧烤,52735,110,36.46153846153846,美团
北京,铸诚大厦,特色小吃,82702,102,27.27848101265823,美团
北京,铸诚大厦,夹馍饼类,84330,85,22.26027397260274,美团
北京,铸诚大厦,包子粥店,179742,74,19.865671641791046,美团
北京,铸诚大厦,川湘菜,85079,72,33.95384615384615,美团
北京,铸诚大厦,麻辣烫冒菜,154365,64,19.224137931034484,美团
北京,铸诚大厦,炸鸡炸串,86493,53,19.88095238095238,美团
北京,铸诚大厦,轻食沙拉,68065,42,20.157894736842106,美团
北京,铸诚大厦,饺子馄饨,49635,40,23.342105263157894,美团
北京,铸诚大厦,汉堡薯条,121650,37,27.176470588235293,美团
北京,铸诚大厦,火锅串串,27455,37,49.36,美团
北京,铸诚大厦,鸭脖卤味,14188,37,53.76470588235294,美团
北京,铸诚大厦,日料寿司,24762,35,39.48148148148148,美团
北京,铸诚大厦,香锅干锅,84055,35,23.35483870967742,美团
北京,铸诚大厦,暖胃粉丝汤,48127,33,25.766666666666666,美团
北京,铸诚大厦,西式料理,42132,25,42.34782608695652,美团
北京,铸诚大厦,韩式料理,56711,25,23.833333333333332,美团
北京,铸诚大厦,意面披萨,30621,24,34.30434782608695,美团
北京,铸诚大厦,其他品类,1236,5,41.0,美团
北京,铸诚大厦,东南亚菜,495,4,55.25,美团
北京,中关村,快餐便当,593335,333,,饿了么
北京,中关村,甜品饮品,214604,248,,饿了么
北京,中关村,米粉面馆,197930,162,,饿了么
北京,中关村,汉堡薯条,146039,46,,饿了么
北京,中关村,包子粥店,139075,70,,饿了么
北京,中关村,麻辣烫冒菜,131685,61,,饿了么
北京,中关村,地方菜系,95743,104,,饿了么
北京,中关村,香锅干锅,73455,25,,饿了么
北京,中关村,夹馍饼类,71142,60,,饿了么
北京,中关村,特色小吃,64682,83,,饿了么
北京,中关村,轻食沙拉,63068,36,,饿了么
北京,中关村,川湘菜,57348,54,,饿了么
北京,中关村,龙虾烧烤,56401,86,,饿了么
北京,中关村,韩式料理,55512,31,,饿了么
北京,中关村,炸鸡炸串,47544,41,,饿了么
北京,中关村,饺子馄饨,35094,32,,饿了么
北京,中关村,西式料理,31944,25,,饿了么
北京,中关村,暖胃粉丝汤,29076,24,,饿了么
北京,中关村,意面披萨,26665,23,,饿了么
北京,中关村,火锅串串,20482,25,,饿了么
北京,中关村,日料寿司,14708,22,,饿了么
北京,中关村,鸭脖卤味,6156,27,,饿了么
北京,中关村,东南亚菜,4499,6,,饿了么
北京,中关村,快餐便当,624452,358,24.487179487179485,美团
北京,中关村,甜品饮品,230213,283,30.15648854961832,美团
北京,中关村,米粉面馆,226514,176,21.888157894736842,美团
北京,中关村,地方菜系,151056,117,35.76635514018692,美团
北京,中关村,龙虾烧烤,50111,91,34.714285714285715,美团
北京,中关村,特色小吃,55710,88,28.548387096774192,美团
北京,中关村,包子粥店,156786,69,19.483870967741936,美团
北京,中关村,夹馍饼类,73320,63,22.571428571428573,美团
北京,中关村,川湘菜,53888,58,34.72,美团
北京,中关村,麻辣烫冒菜,159565,57,18.78846153846154,美团
北京,中关村,日料寿司,36026,42,38.666666666666664,美团
北京,中关村,汉堡薯条,124187,38,28.142857142857142,美团
北京,中关村,火锅串串,22487,36,49.08,美团
北京,中关村,暖胃粉丝汤,51608,35,27.0625,美团
北京,中关村,轻食沙拉,61858,33,20.620689655172413,美团
北京,中关村,炸鸡炸串,54723,32,19.545454545454547,美团
北京,中关村,饺子馄饨,46320,31,23.379310344827587,美团
北京,中关村,鸭脖卤味,12593,29,55.92857142857143,美团
北京,中关村,西式料理,44876,27,43.625,美团
北京,中关村,香锅干锅,70078,25,26.08695652173913,美团
北京,中关村,韩式料理,56683,24,25.625,美团
北京,中关村,意面披萨,22837,19,37.1764705882353,美团
北京,中关村,东南亚菜,2575,8,45.625,美团
北京,中关村,其他品类,2078,6,27.75,美团
北京,长虹桥,快餐便当,461449,461,,饿了么
北京,长虹桥,米粉面馆,184960,212,,饿了么
北京,长虹桥,甜品饮品,157370,435,,饿了么
北京,长虹桥,地方菜系,146881,202,,饿了么
北京,长虹桥,包子粥店,138754,81,,饿了么
北京,长虹桥,麻辣烫冒菜,82098,75,,饿了么
北京,长虹桥,轻食沙拉,79481,70,,饿了么
北京,长虹桥,汉堡薯条,78487,38,,饿了么
北京,长虹桥,川湘菜,68205,92,,饿了么
北京,长虹桥,夹馍饼类,67813,79,,饿了么
北京,长虹桥,香锅干锅,44992,27,,饿了么
北京,长虹桥,龙虾烧烤,43208,110,,饿了么
北京,长虹桥,特色小吃,42942,98,,饿了么
北京,长虹桥,炸鸡炸串,36154,37,,饿了么
北京,长虹桥,韩式料理,35223,29,,饿了么
北京,长虹桥,饺子馄饨,35073,48,,饿了么
北京,长虹桥,暖胃粉丝汤,32766,37,,饿了么
北京,长虹桥,西式料理,23213,63,,饿了么
北京,长虹桥,意面披萨,21419,35,,饿了么
北京,长虹桥,火锅串串,21341,50,,饿了么
北京,长虹桥,日料寿司,13440,44,,饿了么
北京,长虹桥,东南亚菜,11060,30,,饿了么
北京,长虹桥,鸭脖卤味,5124,31,,饿了么
北京,长虹桥,甜品饮品,221559,523,46.4136546184739,美团
北京,长虹桥,快餐便当,586624,455,28.369014084507043,美团
北京,长虹桥,地方菜系,218759,234,41.959798994974875,美团
