id,电话,,标题,创建时间,城市,区域,商圈,月租金,月租金单位,单位租金,单位租金单位,店主自述,商铺类型,转让费,装让费单位,业态,店铺状态,更新时间,经度,纬度,标签,建筑面积,临近街道,支付方式,押金,当前租约,剩余租约,最长可租,续租方式,分时出租
1296257,-,江干火车东站东宁路45㎡水果店转让，可办照,2020/3/25,杭州,江干,火车东站,1.1,万/月,8.15,元/日.㎡,店主自述：商铺位于江干火车东站，地址在东港嘉苑三区,社区商业,面议,,百货超市,江干火车东站东宁路45㎡水果店转让，可办照,营业中,5天前更新,120.217747,30.303845,"{'16': ['临近地铁', '临近学校', '居民密集区']}",45㎡,东宁路,半年付（6.6万）,1月房租,0,0,0,无,0
1267904,-,拱墅桥西50㎡商铺,2019/12/26,杭州,拱墅,桥西,600,元/月,0.4,元/日.㎡,,-,无,,其它业态,拱墅桥西50㎡商铺,-,2020/12/26 12:30,120.136,30.3241,"{'9': ['无转让费'], '16': ['临近地铁', '临近学校', '居民密集区']}",-,-,-,-,0,0,0,无,0
1287502,-,西湖转塘科海路100㎡烟酒茶叶店转让，公司照可用,2020/3/19,杭州,西湖,转塘,6000,元/月,2,元/日.㎡,,写字楼配套,面议,,百货超市,西湖转塘科海路100㎡烟酒茶叶店转让，公司照可用,营业中,2020/3/19 19:27,120.094819,30.134991,"{'4': ['证照齐全'], '16': ['临近学校', '居民密集区']}",100㎡,科海路,年付（7.2万）,1月房租,0,0,0,无,0
1196298,-,余杭未来科技城海淘路50㎡商铺转让，个人照可用，可明火，可餐饮,2020/3/13,杭州,余杭,未来科技城,4500,元/月,3,元/日.㎡,,百货/购物中心,2,万,其它业态,余杭未来科技城海淘路50㎡商铺转让，个人照可用，可明火，可餐饮,空铺,2020/10/8 13:37,120.028032,30.294821,"{'4': ['证照齐全'], '7': ['在商场内', '档口'], '9': ['可餐饮']}",50㎡,海淘路,半年付（2.7万）,1月房租,0,0,0,无,0
1294791,-,江干笕桥同协路60㎡小吃快餐店转让，可办照，可明火，可餐饮,2020/3/25,杭州,江干,笕桥,7750,元/月,4.31,元/日.㎡,,独立商业,8.8,万,酒楼餐饮,江干笕桥同协路60㎡小吃快餐店转让，可办照，可明火，可餐饮,营业中,2020/3/24 14:24,120.221897,30.321341,"{'4': ['证照齐全'], '9': ['可餐饮'], '13': ['可明火'], '16': ['临近学校']}",60㎡,同协路,年付（9.3万）,1月房租,0,0,0,无,0
1284299,-,萧山萧山开发区垦辉二路70㎡小吃快餐店转让，个人照可用，可明火，可餐饮,2020/3/16,杭州,萧山,萧山开发区,7000,元/月,3.33,元/日.㎡,店主自述：附近有工厂，工地，物流,独立商业,面议,,酒楼餐饮,萧山萧山开发区垦辉二路70㎡小吃快餐店转让，个人照可用，可明火，可餐饮,营业中,2020/3/11 13:24,120.358573,30.235752,"{'4': ['证照齐全'], '9': ['无转让费', '可餐饮'], '13': ['可明火']}",70㎡,垦辉二路,年付（8.4万）,10000元,0,0,0,无,0
1286208,-,余杭未来科技城狮山路85㎡商铺出租，可办照,2020/3/16,杭州,余杭,未来科技城,6999,元/月,2.74,元/日.㎡,,独立商业,无,,其它业态,余杭未来科技城狮山路85㎡商铺出租，可办照,空铺,2020/3/16 20:32,119.95645,30.277087,"{'9': ['无转让费'], '13': ['房东直租'], '16': ['临近学校', '居民密集区']}",85㎡,狮山路,年付（8.4万）,10000元,0,0,0,无,0
1297780,-,下城三里亭莫干山路46㎡商铺出租，可办照,2020/3/27,杭州,下城,三里亭,6600,元/月,4.78,元/日.㎡,,社区商业,面议,,其它业态,下城三里亭莫干山路46㎡商铺出租，可办照,空铺,3天前更新,120.150915,30.29644,"{'9': ['无转让费'], '13': ['房东直租'], '16': ['临近学校', '居民密集区']}",46㎡,莫干山路,年付（7.92万）,1月房租,0,0,0,无,0
1288394,-,江干火车东站开创街103㎡商铺出租，可办照,2020/3/22,杭州,江干,火车东站,1.14,万/月,3.68,元/日.㎡,,社区商业,无,,其它业态,江干火车东站开创街103㎡商铺出租，可办照,空铺,2020/3/22 17:20,120.227522,30.315576,"{'9': ['无转让费'], '13': ['房东直租'], '16': ['临近学校', '居民密集区']}",103㎡,开创街,半年付（6.83万）,2月房租,0,0,0,无,0
1297787,-,滨江滨江区政府江南大道170㎡美容院转让，可办照,2020/3/27,杭州,滨江,滨江区政府,6.3,万/月,12.35,元/日.㎡,,百货/购物中心,面议,,美容美发,滨江滨江区政府江南大道170㎡美容院转让，可办照,营业中,3天前更新,120.210704,30.20676,"{'7': ['在商场内'], '9': ['无转让费'], '16': ['临近学校', '居民密集区']}",170㎡,江南大道,半年付（37.8万）,1月房租,0,0,0,无,0
