id,支付方式,押金,当前租约,剩余租约,最长可租,续租方式,分时出租
1269764,3月一付,2月房租,-,18个月,60个月,无,否
1244256,,,,,,无,
1283286,,,,,,无,
1292749,半年付（129.6万）,2月房租,-,-,60个月,无,否
483488,半年付（36.72万）,1月房租,1年,-,12个月,无,否
1206466,半年付（13万）,1月房租,-,-,24个月,无,否
1292750,半年付（332.64万）,2月房租,-,-,60个月,无,否
1292848,半年付（77.11万）,2月房租,-,-,60个月,无,否
1291170,3月一付,3月房租,-,36个月,72个月,无,否
1150913,半年付（13.8万）,1月房租,-,-,36个月,无,否
1231416,年付（4.56万）,4000元,-,4个月,12个月,无,否
1231046,3月一付,1月房租,-,2个月,12个月,继续使用原租约 另签一份,否
1271525,,,,,,无,
1279649,,,,,,无,
1284364,,,,,,无,
1281680,,,,,,无,
1284406,,,,,,无,
1269116,半年付（16.02万）,1月房租,-,28个月,-,无,否
1268709,3月一付,2月房租,-,-,12个月,无,否
957995,3月一付,1月房租,-,-,60个月,另签一份,否
1292452,3月一付,2月房租,-,3个月,48个月,无,否
1128499,年付（8万）,10000元,-,9个月,12个月,另签一份,否
1224653,年付（8.4万）,1月房租,-,-,36个月,无,否
1271025,年付（28万）,,-,5个月,60个月,无,否
1255142,3月一付,2月房租,-,1个月,36个月,无,否
1288544,3月一付,3月房租,-,-,12个月,无,否
1256638,3月一付,2月房租,-,12个月,12个月,无,否
1215451,半年付（6万）,1月房租,-,1个月,36个月,无,否
1278351,半年付（132万）,2月房租,-,-,60个月,无,否
1264523,半年付（18.65万）,2月房租,-,-,60个月,无,否
1237282,半年付（10.8万）,2月房租,-,2个月,60个月,无,否
1245098,半年付（15万）,2月房租,-,-,24个月,无,否
1271838,半年付（30万）,2月房租,-,54个月,60个月,无,否
1275581,3月一付,2月房租,-,-,12个月,无,否
1275300,3月一付,2月房租,-,24个月,24个月,无,否
1286829,半年付（9万）,1月房租,-,2个月,12个月,无,否
1260136,1月一付,40000元,-,24个月,24个月,无,否
1200396,3月一付,1月房租,-,2个月,36个月,无,否
1236812,半年付（6.96万）,2月房租,-,18个月,12个月,无,否
1272306,3月一付,3月房租,-,1个月,36个月,继续使用原租约,否
1264437,半年付（11.4万）,1月房租,-,18个月,36个月,无,否
1225053,2月一付,2月房租,-,-,12个月,无,否
1218584,年付（18万）,2月房租,-,12个月,24个月,另签一份,否
1268688,半年付（7.5万）,1月房租,-,30个月,36个月,无,否
1255423,半年付（11.4万）,1月房租,-,-,24个月,无,否
1288831,半年付（10.25万）,1月房租,-,7个月,12个月,无,否
1266311,3月一付,3月房租,-,-,36个月,无,-
1235910,半年付（11.52万）,2月房租,-,24个月,36个月,无,否
1280178,半年付（48万）,2月房租,-,-,60个月,无,否
1266069,3月一付,2月房租,-,-,60个月,无,否
1274515,3月一付,1月房租,-,12个月,12个月,无,否
1272600,半年付（9.3万）,2月房租,-,-,60个月,无,否
1211106,半年付（9万）,2月房租,-,12个月,60个月,无,否
1216499,半年付（13.2万）,2月房租,-,-,60个月,无,否
1273637,半年付（72万）,2月房租,-,-,60个月,无,否
1277011,1月一付,3月房租,-,-,12个月,无,否
1257108,半年付（4.2万）,1月房租,-,3个月,12个月,无,否
1277010,1月一付,3月房租,-,-,12个月,无,否
1262531,半年付（42万）,2月房租,-,-,60个月,无,-
