id,支付方式,押金,当前租约,剩余租约,最长可租,续租方式,分时出租
1296257,半年付（6.6万）,1月房租,,,,无,
1267904,-,-,,,,无,
1287502,年付（7.2万）,1月房租,,,,无,
1196298,半年付（2.7万）,1月房租,,,,无,
1294791,年付（9.3万）,1月房租,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1286208,年付（8.4万）,10000元,,,,无,
1297780,年付（7.92万）,1月房租,,,,无,
1288394,半年付（6.83万）,2月房租,,,,无,
1297787,半年付（37.8万）,1月房租,,,,无,
1288275,1月一付,50000元,,,,无,
1239399,-,-,,,,无,
1297794,半年付（4.15万）,2月房租,,,,无,
1297795,半年付（5.01万）,2月房租,,,,无,
1267885,-,-,,,,无,
1297784,半年付（7.67万）,2月房租,,,,无,
1297789,半年付（8.3万）,2月房租,,,,无,
1296257,半年付（6.6万）,1月房租,,,,无,
1297657,半年付（16.5万）,1月房租,,,,无,
1297703,年付（360万）,1月房租,,,,无,
1239390,-,-,,,,无,
1287909,年付（5万）,,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1297456,半年付（2.22万）,1月房租,,,,无,
1297185,年付（16.56万）,1月房租,,,,无,
1274250,3月一付,2月房租,,,,无,
1252578,年付（4.8万）,1月房租,,,,无,
1279165,3月一付,1月房租,,,,无,
1239399,-,-,,,,无,
1286964,半年付（3.6万）,1月房租,,,,无,
1282285,3月一付,2月房租,,,,无,
1288411,年付（6万）,1月房租,,,,无,
1296489,半年付（12万）,2月房租,,,,无,
1288184,半年付（3.54万）,1月房租,,,,无,
1284968,半年付（31.2万）,2月房租,,,,无,
1256840,2月一付,1月房租,,,,无,
1283695,年付（1.56万）,2000元,,,,无,
1296257,半年付（6.6万）,1月房租,,,,无,
1263283,年付（4万）,1月房租,,,,无,
1294757,年付（4.2万）,1月房租,,,,无,
1292743,年付（9万）,1月房租,,,,无,
1254465,-,-,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1287088,年付（5.04万）,5000元,,,,无,
1290337,年付（10.8万）,1月房租,,,,无,
1287392,3月一付,1月房租,,,,无,
1286717,半年付（18万）,2月房租,,,,无,
1288271,年付（5万）,1月房租,,,,无,
1239399,-,-,,,,无,
1288262,3月一付,2月房租,,,,无,
1287903,半年付（6000元）,1月房租,,,,无,
1288085,年付（4.2万）,10000元,,,,无,
1288081,年付（21.6万）,1月房租,,,,无,
1287960,2月一付,1月房租,,,,无,
1166604,年付（48万）,,,,,无,
1285763,半年付（13万）,30000元,,,,无,
1285308,1月一付,2月房租,,,,无,
1296257,半年付（6.6万）,1月房租,,,,无,
1267830,-,-,,,,无,
1287285,半年付（6.6万）,2月房租,,,,无,
1285768,半年付（27万）,100000元,,,,无,
1285779,半年付（4.32万）,1月房租,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1281369,半年付（6万）,1月房租,,,,无,
1168868,半年付（25.2万）,1月房租,,,,无,
1206086,,,-,-,-,无,否
1267802,-,-,,,,无,
1267785,-,-,,,,无,
1239399,-,-,,,,无,
1267444,-,-,,,,无,
1267449,-,-,,,,无,
1267260,-,-,,,,无,
1284311,半年付（5.4万）,1月房租,,,,无,
1283937,年付（3.48万）,2000元,,,,无,
1199570,年付（4.8万）,1月房租,,,,无,
1282481,年付（9万）,30000元,,,,无,
1285565,半年付（9万）,1月房租,,,,无,
1296257,半年付（6.6万）,1月房租,,,,无,
1281745,半年付,20000元,,,,无,
1283263,年付（9.6万）,20000元,,,,无,
1283278,年付（20万）,10000元,,,,无,
1283321,半年付（10.8万）,2月房租,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1257173,-,-,,,,无,
1284948,半年付（7.5万）,1月房租,,,,无,
1283933,半年付（4.75万）,25000元,,,,无,
1266890,-,-,,,,无,
1220898,半年付（6.06万）,1月房租,,,,无,
1239399,-,-,,,,无,
1281655,半年付（4万）,20000元,,,,无,
1267972,-,-,,,,无,
1282952,半年付（12.6万）,3月房租,,,,无,
1278713,半年付（7.2万）,1月房租,,,,无,
1279363,3月一付,1月房租,,,,无,
1279398,年付（7.5万）,1月房租,,,,无,
1246412,年付（4万）,5000元,,,,无,
1276958,年付（4万）,1月房租,,,,无,
1296257,半年付（6.6万）,1月房租,,,,无,
1282522,3月一付,2月房租,,,,无,
1276786,1月一付,3月房租,,,,无,
1282439,1月一付,3月房租,,,,无,
1281781,半年付（3万）,1月房租,,,,无,
1284299,年付（8.4万）,10000元,,,,无,
1281804,年付（1425.6万）,1月房租,,,,无,
