id,支付方式,押金,当前租约,剩余租约,最长可租,续租方式,分时出租
1269525,1月一付,3月房租,-,3个月,12个月,无,否
1280827,,,,,,无,
1282373,,,,,,无,
1282085,,,,,,无,
1284579,,,,,,无,
1273991,3月一付,3月房租,-,18个月,12个月,无,否
1271253,,,,,,无,
1272146,,,,,,无,
1273343,,,,,,无,
1269966,,,,,,无,
1274232,,,,,,无,
1264458,3月一付,2月房租,-,-,60个月,无,否
1277443,,,,,,无,
1277157,,,,,,无,
1256971,3月一付,3月房租,-,60个月,60个月,无,否
1212688,3月一付,2月房租,-,34个月,-,无,否
1287515,半年付（13.8万）,2月房租,-,54个月,60个月,无,否
1285148,,,,,,无,
1283228,,,,,,无,
1281100,,,,,,无,
1262663,3月一付,2月房租,-,40个月,36个月,无,否
1279213,,,,,,无,
1261965,半年付（15.96万）,2月房租,-,36个月,36个月,无,否
1250947,3月一付,1月房租,-,-,36个月,无,否
1273346,2月一付,3月房租,-,12个月,-,继续使用原租约,否
1228615,3月一付,3月房租,-,-,36个月,无,否
1024695,,,,,,无,
1225312,3月一付,1月房租,-,-,12个月,无,否
1236754,,,,,,无,
1297350,,,,,,无,
1286756,,,,,,无,
1237212,2月一付,2月房租,-,18个月,24个月,无,否
1253941,3月一付,1月房租,-,30个月,36个月,无,否
1220696,3月一付,3月房租,-,-,72个月,无,否
1295089,,,,,,无,
1283744,,,,,,无,
1274601,1月一付,2月房租,-,18个月,24个月,继续使用原租约,否
1286115,,,,,,无,
1297397,,,,,,无,
1286495,,,,,,无,
1287142,,,,,,无,
1263284,年付（7.32万）,1月房租,-,4个月,36个月,另签一份,否
1190577,,,,,,无,
1264050,半年付（12.5万）,20000元,-,42个月,60个月,无,否
1281167,,,,,,无,
1254878,3月一付,1月房租,-,7个月,36个月,无,否
1248324,半年付（7.2万）,2月房租,-,4个月,24个月,无,否
1189689,半年付（16.52万）,1月房租,-,-,60个月,无,否
1181264,年付（17万）,3月房租,-,48个月,12个月,无,否
1277181,,,,,,无,
1138410,半年付（4.08万）,1月房租,-,-,-,无,否
1205344,年付（2.04万）,1月房租,-,-,24个月,无,否
1283524,3月一付,3月房租,-,17个月,36个月,无,否
1294862,,,,,,无,
1281190,,,,,,无,
1145705,半年付（9万）,1月房租,-,-,12个月,无,否
1294926,,,,,,无,
1277476,,,,,,无,
1297464,,,,,,无,
1249838,3月一付,1月房租,-,-,36个月,无,否
1255535,2月一付,3月房租,-,36个月,60个月,无,否
