阿木家酸汤米线（第2档口-王哥美食城店）,朝阳区,北京市朝阳区北沙滩7号院1号楼一层3号厅,"09:30-15:00,16:15-21:16",米粉米线,,4.0,568,"新用户立减22元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满25减10;满45减15;满65减18,满20元可使用津贴4元,折扣商品0.15折起",18311478632,17,金针菇肥牛酸汤米线-900,麻香烧饼-500,蔬菜素食酸汤米线-300,川味香肠酸汤米线-200,新品尝鲜：香酥肉皮酸汤米线-90
衢州餐厅（黄焖鸡＋湘味小炒）,海淀区,中关村北大街水磨新区19号（清华西门北侧）,"10:00-14:00,16:30-22:30",中式简餐,,3.8,594,"新客爆品专享1元特价商品,新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减9;满50减18;满150减40,折扣商品4.49折起",13811975103,18,黄焖鸡(大)+土豆+米饭+酸奶-700,干锅千页豆腐+米饭+酸奶-300,剁椒鸡蛋炒菜+米饭+酸奶-200,小炒有机菜花+米饭+酸奶-200,米饭-200
徽普臭桂鱼（中关村店）,海淀区,北京市海淀区中关村北二条13号38号平房,"11:00-14:00,17:00-21:00",徽菜,,4.1,140,"满35减14;满45减20;满60减26;满100减42;满150减53,折扣商品5折起,实际支付40元返5元商家代金券",01062578995,44,五常大米-200,招牌牛杂锅单人餐-30,油渣有机白菜-30,小炒肉（小份）-20,徽州小炒（小份）-20
旺顺阁鱼头泡饼（圣熙八号店）,海淀区,北京市海淀区学清路甲18号东升科技园一层B区103,"10:30-14:00,16:30-21:00",北京菜,,4.4,1813,"新客爆品专享1元特价商品,新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满50减20;满70减35;满130减55;满200减60,满40元可使用津贴3元,折扣商品5折起",010-62916229,33,红烧鱼块泡饼单人套餐-4000,豆豉鲜椒鱼块泡饼单人套餐-2000,红烧鱼块泡饼单人套餐-1106,手工饼-900,罗马生菜（烧鱼配菜）-600
NOVA串吧（五道口店）,海淀区,成府路29号一层A-5,17:00-23:59,烤串,,0.0,16,"满70减15;满120减30;满180减45,折扣商品8折起",010-62317536,,探戈牛肉串-41,羊肉串-32,时蔬豆皮卷-30,滋味鸡胗-30,秘制鸡翅-30
庆丰包子铺(大屯路店),朝阳区,朝阳区大屯路36号2号楼一层,"07:00-13:30,16:30-19:30",美团专送,快餐小吃,4.4,929,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满55减12;满85减20,折扣商品6.19折起","13552471245,13401134026,15210551559",22,猪肉大葱(6个）-504,小米粥-483,素三鲜(6个）-365,猪肉梅干菜(6个）-241,紫米莲子粥-225
和合谷（亦庄店）,大兴区,北京市经济技术开发区文化园西路6号16号楼103,07:00-22:00,中式简餐,,4.7,4317,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减5;满50减20;满80减30,折扣商品1.67折起",010-67865029,24,葱香鸡肉圈（5份起订）-5000,宫保鸡丁拼秘汁鸡排盖饭-3000,宫保鸡丁盖饭-3000,台式卤肉盖饭+鲜柠红茶套餐-2000,宫保鸡丁拼麻婆豆腐盖饭-2000
伊喜阳光快餐（志新桥店）,海淀区,北京市海淀区志新村小区32号楼一层101,"07:00-13:30,17:30-21:00",中式简餐,,3.9,294,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减6;满50减10,折扣商品8.89折起",18810848626,17,招牌手工鲜肉小笼包-400,经典原味煎饼-400,特色鸡蛋油条-300,茶叶蛋-300,+辣条-200
伊喜阳光早餐,海淀区,北京市海淀区学院路30号科技大学东门配套楼,04:50-10:10,中式简餐,,4.6,1851,"新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减6;满50减10,折扣商品6.35折起",01082370202,18,特色鸡蛋油条（5:15开始售卖）-4000,招牌手工鲜肉小笼包-3000,茶叶蛋-3000,豆腐脑-3000,江南菜肉大馅馄饨-2000
巫山烤全鱼（精品川湘菜家常菜盖浇饭）,海淀区,海淀乡厢白旗73号,"10:30-15:00,16:55-23:30",美食,川湘菜,3.9,359,"新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减4;满50减8,折扣商品3.49折起",13693375558,25,米饭-700,农家小炒肉盖饭-200,小炒猪头肉盖饭-200,尖椒肉丝盖饭-200,肉丝炒饼-90
满座儿（清华科技园店）,海淀区,中关村东路1号院8号楼B1G01,"10:00-14:00,17:00-20:00",中式简餐,,4.5,552,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减19;满65减37;满100减52;满150减65,折扣商品8折起","010-59854587,18839711532",12,米饭-500,宫保鸡丁（小份菜）-200,酸辣土豆丝（小份菜）-200,小炒鱼豆腐（小份菜）-100,鸡蛋汤-100
一心日本料理（五道口店）,海淀区,北京市海淀区成府路35号院内35-2平房,"10:55-13:45,17:00-21:00",日韩料理,日本料理,4.8,341,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满38减12;满70减20;满100减25",010-82610136,46,炖牛肉鸡蛋套餐15051-400,油梨三文鱼沙拉（小份）15022-300,三文鱼寿司拼盘15011-200,日式煎饺子15034-200,炸章鱼丸子15028-200
拜托了炒饭炒饼(7号档口北工大美食城店),大兴区,北京经济技术开发区地盛北街1号院18号楼一层101,10:00-21:00,中式简餐,,4.0,41,"新用户立减17元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满20减19;满45减25;满69减35;满95减45,折扣商品4.24折起",17316232427,,五百强牛肉炒面-30,矿泉水品牌随机-20,五百强鸡蛋炒面-10,榨菜火腿蛋炒饭-10,特色午餐肉炒饭-10
米小巢●花式蛋包饭（满座美食城店）,朝阳区,太阳宫乡芍药居村甲3号院内第三幢楼,09:29-21:30,中式简餐,,4.6,2078,"新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满30减20;满50减24;满80减35;满110减45,折扣商品3.99折起,领3元券;领5元券;领8元券,实际支付10元返3元商家代金券,下单即赠秘制小咸菜1份",13718212695,21
食味茶餐厅（学院路店）,海淀区,学院路15号学术交流中心一层103、105、106、107、108号,"10:30-14:00,16:30-20:50",中式简餐,,4.8,489,"新客爆品专享1元特价商品,新用户立减11元（本优惠与新人首单红包不可同享）,首次使用美团支付最高再减3元,满50减10;满80减20;满130减30,折扣商品1.24折起",13522412740,32,鸡蛋肠粉-400,爽滑牛肉肠粉-300,叉烧拼烧鸭饭-200,叉烧肠粉-200,干炒牛河-200
沸点麻辣烫（西小营店）,海淀区,北京市海淀区苏家坨乡西小营村东（川西坝子旁边）,10:00-22:00,美团专送,快餐小吃,4.0,49,"满25减4;满32减6;满50减8,本店新用户立减8元,折扣商品3.32折起",16600244951,,蒜末-300,辣椒油-300,麻油-300,培根-200,撒尿牛丸-200
