项目名称,区域,项目地址,经纬度,据熊猫项目,熊猫项目
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",2.199175055,四川北路一店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",2.190274585,国权路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.938443824,延长路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.133372196,国安路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.676355831,汶水路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.448515825,河南北路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.128250543,国定东路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.464468564,河南北路二店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",1.604484297,控江路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",3.483027213,淞沪路店
大连路项目,虹口区,大连路1599号3楼,"121.502161,31.273658",4.974508176,商城路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.91850035,武宁路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.50314773,四川北路一店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.29982668,江宁路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",1.255569621,淮海东路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",1.255569621,淮海东路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.683926375,延长路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",0.19750979,南京西路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.065015353,河南北路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.053430707,河南北路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.29982668,江宁路二店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.84358244,曹杨路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",3.684977156,叶家宅路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",4.476990721,商城路店
世茂商都项目,黄浦区,南京西路258号5楼,"121.470839,31.232335",2.904725123,斜徐路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",4.001514325,武宁路店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",2.42727994,四川北路一店
大统路项目,静安区,静安区大统路988号B幢二层205室、206室、207室,"121.459260,31.255429",1.979771023,江宁路店
